area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,purpose,city,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count
1720.0,Apartment,Residential,3.0,3.0,13700000.000000002,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
1630.0,Apartment,Residential,3.0,3.0,13000000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
650.0,Apartment,Residential,2.0,2.0,4000000.0,Sale,Dhaka,Agargaon,0,1,1,0,1,0,3
1350.0,Apartment,Residential,3.0,3.0,7200000.0,Sale,Dhaka,Mirpur,0,0,0,0,3,0,4
1200.0,Apartment,Residential,2.0,3.0,9000000.0,Sale,Dhaka,Dhanmondi,0,2,2,1,2,0,3
1633.0,Apartment,Residential,3.0,3.0,11200000.000000002,Sale,Dhaka,Bashabo,0,2,2,0,3,0,4
1310.0,Apartment,Residential,3.0,3.0,7900000.0,Sale,Dhaka,Badda,0,0,2,0,2,0,3
1633.0,Apartment,Residential,3.0,3.0,11200000.000000002,Sale,Dhaka,Bashabo,0,2,2,0,3,0,4
1580.0,Apartment,Residential,3.0,3.0,12600000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
1586.0,Apartment,Residential,3.0,3.0,11000000.0,Sale,Dhaka,Bashabo,0,2,2,0,3,0,4
1483.0,Apartment,Residential,3.0,3.0,13500000.0,Sale,Dhaka,Tejgaon,1,2,3,4,6,0,12
1586.0,Apartment,Residential,3.0,3.0,11000000.0,Sale,Dhaka,Bashabo,0,2,2,0,3,0,4
1000.0,Apartment,Residential,2.0,3.0,6000000.0,Sale,Dhaka,Mirpur,0,0,2,0,2,0,3
950.0,Apartment,Residential,2.0,3.0,5000000.0,Sale,Dhaka,Mirpur,0,0,0,0,1,0,3
1182.0,Apartment,Residential,3.0,3.0,8250000.0,Sale,Dhaka,Baridhara,5,2,2,4,6,0,10
930.0,Apartment,Residential,3.0,3.0,5800000.0,Sale,Dhaka,Mirpur,0,0,0,0,1,0,3
1350.0,Apartment,Residential,3.0,3.0,11000000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
930.0,Apartment,Residential,3.0,3.0,5800000.0,Sale,Dhaka,Mirpur,0,0,0,0,1,0,3
2100.0,Apartment,Residential,5.0,4.0,25000000.0,Sale,Dhaka,Bashundhara R-A,0,2,3,0,4,0,5
1150.0,Apartment,Residential,2.0,3.0,7000000.0,Sale,Dhaka,Mirpur,0,0,0,0,3,0,3
1075.0,Apartment,Residential,2.0,3.0,8700000.0,Sale,Dhaka,Kalabagan,0,1,1,0,6,0,3
1410.0,Apartment,Residential,3.0,3.0,12000000.0,Sale,Dhaka,Khilgaon,0,1,1,0,2,0,4
1350.0,Apartment,Residential,3.0,3.0,9500000.0,Sale,Dhaka,Adabor,0,0,2,0,4,0,4
1595.0,Apartment,Residential,3.0,3.0,10500000.0,Sale,Dhaka,Adabor,0,1,1,0,4,0,4
1543.0,Apartment,Residential,3.0,3.0,11600000.0,Sale,Dhaka,Bashabo,0,2,2,0,4,0,4
1550.0,Apartment,Residential,3.0,3.0,11700000.0,Sale,Dhaka,Rampura,0,2,2,0,3,0,4
950.0,Apartment,Residential,2.0,3.0,5800000.0,Sale,Dhaka,Mirpur,0,0,2,0,2,0,3
2400.0,Apartment,Residential,3.0,3.0,20000000.0,Sale,Dhaka,Aftab Nagar,0,1,2,0,2,0,3
2400.0,Apartment,Residential,4.0,3.0,23000000.0,Sale,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3
1200.0,Apartment,Residential,3.0,3.0,7300000.0,Sale,Dhaka,Banasree,0,2,2,0,5,0,3
1200.0,Apartment,Residential,3.0,3.0,8800000.0,Sale,Dhaka,Mirpur,0,2,3,0,3,0,5
1666.0,Apartment,Residential,3.0,3.0,13500000.0,Sale,Dhaka,Bashundhara R-A,0,1,0,0,3,0,3
1536.0,Apartment,Residential,4.0,4.0,12500000.0,Sale,Dhaka,Rampura,0,2,2,0,4,0,4
1270.0,Apartment,Residential,3.0,3.0,10000000.0,Sale,Dhaka,Uttara,0,2,3,0,3,0,4
1800.0,Apartment,Residential,3.0,4.0,12600000.0,Sale,Dhaka,Banasree,0,1,2,0,3,0,4
2700.0,Apartment,Residential,4.0,4.0,26500000.0,Sale,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3
2002.0,Apartment,Residential,3.0,3.0,33000000.0,Sale,Dhaka,Kakrail,0,2,2,0,2,0,3
1300.0,Apartment,Residential,3.0,3.0,11000000.0,Sale,Dhaka,Uttara,0,2,3,0,3,0,4
2265.0,Apartment,Residential,3.0,4.0,25000000.0,Sale,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3
2100.0,Apartment,Residential,3.0,3.0,10500000.0,Sale,Dhaka,Mirpur,0,1,2,0,2,0,4
1565.0,Apartment,Residential,3.0,3.0,11000000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
1620.0,Apartment,Residential,3.0,3.0,12000000.0,Sale,Dhaka,Aftab Nagar,0,0,2,0,2,0,3
1420.0,Apartment,Residential,4.0,3.0,7500000.0,Sale,Dhaka,Turag,0,2,3,0,3,0,3
1654.0,Apartment,Residential,3.0,3.0,9500000.0,Sale,Dhaka,Uttara,0,1,1,0,1,0,3
1506.0,Apartment,Residential,3.0,3.0,11500000.0,Sale,Dhaka,Aftab Nagar,0,0,2,0,2,0,3
2250.0,Apartment,Residential,4.0,4.0,22000000.0,Sale,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3
950.0,Apartment,Residential,2.0,2.0,5200000.0,Sale,Dhaka,Mirpur,0,0,2,0,2,0,3
1250.0,Apartment,Residential,3.0,3.0,12000000.0,Sale,Dhaka,Baridhara,5,2,3,5,6,0,12
1000.0,Apartment,Residential,2.0,3.0,6000000.0,Sale,Dhaka,Mirpur,0,0,2,0,2,0,3
1668.0,Apartment,Residential,3.0,4.0,8700000.0,Sale,Dhaka,Bashabo,0,0,2,0,1,0,4
1402.0,Apartment,Residential,2.0,3.0,7500000.0,Sale,Dhaka,Badda,0,1,3,0,4,0,3
1500.0,Apartment,Residential,3.0,3.0,7800000.0,Sale,Dhaka,Mirpur,0,0,1,0,5,0,3
850.0,Apartment,Residential,2.0,2.0,5200000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
1820.0,Apartment,Residential,3.0,3.0,20000000.0,Sale,Dhaka,Kathalbagan,0,1,2,0,4,0,3
7150.0,Building,Residential,8.0,7.0,32000000.0,Sale,Dhaka,Mirpur,0,1,2,1,0,0,3
1352.0,Apartment,Residential,3.0,3.0,12500000.0,Sale,Dhaka,Badda,0,0,3,0,4,0,4
500.0,Apartment,Residential,1.0,1.0,7000000.0,Sale,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3
1350.0,Apartment,Residential,3.0,3.0,12800000.0,Sale,Dhaka,Motijheel,0,0,2,0,2,0,3
1600.0,Apartment,Residential,3.0,3.0,9500000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
850.0,Apartment,Residential,2.0,2.0,5200000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
1088.0,Apartment,Residential,3.0,3.0,11500000.0,Sale,Dhaka,Malibagh,0,2,2,1,4,0,3
